"X(source)","P(0)","H(X)bit/bit","redundancy","msg length"
"..\data\case_1\DMS.p0=0.100.dat","0.099858","0.468547","0.531453","102400"
"..\data\case_2\DMS.p0=0.100.dat","0.100280","0.469881","0.530119","102400"
"..\data\case_3\DMS.p0=0.500.dat","0.500240","1.000000","0.000000","102400"
"..\data\case_4\DMS.p0=0.500.dat","0.499142","0.999998","0.000002","102400"
"..\data\case_5\DMS.p0=0.100.dat","0.100085","0.469267","0.530733","102400"
"..\data\case_6\DMS.p0=0.100.dat","0.100126","0.469394","0.530606","102400"
"..\data\case_7\DMS.p0=0.100.dat","0.099321","0.466840","0.533160","102400"
"..\data\case_8\DMS.p0=0.100.dat","0.100062","0.469193","0.530807","102400"
