"X","Y","H(X)bit/bit","H(Y)bit/bit","H(XY)bit/2-bit","H(X|Y)bit/bit","H(Y|X)bit/bit","I(X;Y)bit/bit","p"
"..\data\case_1\HC.en.p0=0.100.dat","..\data\case_1\BSC.p0=0.100.p=0.000.dat","0.9909935117094537","0.9909935117094537","0.9909935117094537","0.0","0.0","0.9909935117094537","0.0"
"..\data\case_2\DMS.p0=0.100.dat","..\data\case_2\BSC.p0=0.100.p=0.000.dat","0.4683689818601527","0.4683689818601527","0.4683689818601527","0.0","0.0","0.4683689818601527","0.0"
"..\data\case_3\RC.en.p0=0.500.dat","..\data\case_3\BSC.p0=0.500.p=0.010.dat","0.5750851978113692","0.6333959345159903","0.6550931319175358","0.021697197401545548","0.0800079341061666","0.5533880004098237","0.009936361712862746"
"..\data\case_4\DMS.p0=0.500.dat","..\data\case_4\BSC.p0=0.500.p=0.010.dat","0.9998071049009717","0.9997984482593079","1.0766270288848652","0.0768285806255573","0.07681992398389344","0.9229785242754144","0.0099365234375"
"..\data\case_5\RC.en.p0=0.100.dat","..\data\case_5\BSC.p0=0.100.p=0.010.dat","0.5699026477257008","0.6273724509339749","0.6486669779815066","0.02129452704753177","0.07876433025580581","0.548608120678169","0.00979150233298127"
"..\data\case_6\HC.en.p0=0.100.dat","..\data\case_6\BSC.p0=0.100.p=0.010.dat","0.9912809993359353","0.9916689622519523","1.0632495791667314","0.07158061691477913","0.0719685798307962","0.9197003824211561","0.009589808203835924"
"..\data\case_7\RC.en.p0=0.100.dat","..\data\case_7\BSC.p0=0.100.p=0.010.dat","0.25405832754879387","0.321141170802408","0.33411830930490427","0.012977138502496242","0.08005998175611043","0.24108118904629763","0.009925782457967807"
"..\data\case_8\DMS.p0=0.100.dat","..\data\case_8\BSC.p0=0.100.p=0.010.dat","0.4688158676185302","0.4941615628738323","0.5485646615958724","0.05440309872204008","0.07974879397734227","0.41441276889649015","0.010047607421875"
